<CLOSE>,<COL14>
8347.23,13980105
8316.85,13980106
8404.97,13980107
8614.09,13980110
8583.97,13980111
8416.27,13980117
8612.08,13980118
8597.77,13980119
8520.20,13980120
8863.13,13980121
8965.05,13980124
8848.06,13980125
9222.62,13980126
9013.00,13980127
8936.68,13980128
9048.90,13980131
9095.09,13980202
8834.01,13980203
9030.57,13980204
9265.05,13980207
9404.63,13980208
9713.67,13980209
9710.40,13980210
9810.57,13980211
9990.32,13980214
9808.06,13980215
9320.28,13980216
9028.31,13980217
9391.32,13980218
9279.86,13980221
8964.55,13980222
9389.32,13980223
9522.37,13980224
9316.51,13980225
9373.75,13980228
9360.45,13980229
9327.81,13980230
9462.87,13980231
9573.08,13980301
9590.40,13980304
9759.10,13980305
9942.62,13980307
10026.22,13980308
10061.11,13980311
10272.74,13980312
10363.62,13980313
10350.31,13980318
10408.31,13980319
10410.06,13980320
10624.96,13980321
10680.44,13980322
10645.79,13980325
10635.00,13980326
10313.41,13980327
10479.60,13980328
10461.02,13980329
10322.20,13980401
10623.45,13980402
10640.02,13980403
11073.57,13980404
11277.17,13980405
11123.78,13980409
11074.08,13980410
11117.76,13980411
11233.49,13980412
10875.50,13980415
10952.32,13980416
11014.83,13980417
10995.75,13980418
11220.94,13980419
11139.60,13980422
11285.46,13980423
11330.14,13980424
10954.58,13980425
10787.38,13980426
10867.21,13980429
10851.15,13980430
11129.56,13980431
11011.31,13980501
11280.69,13980502
11323.11,13980505
11434.83,13980506
11376.58,13980507
11405.96,13980508
11448.13,13980509
11479.01,13980512
11549.05,13980513
11647.21,13980514
11593.24,13980515
11631.14,13980516
11734.82,13980519
11559.85,13980520
11740.60,13980522
11955.99,13980523
11871.39,13980526
11776.50,13980527
11842.27,13980528
12100.60,13980530
12360.43,13980602
12358.42,13980603
12413.90,13980604
12867.79,13980605
12635.32,13980606
12953.14,13980609
12999.08,13980610
12924.52,13980611
12862.77,13980612
13122.60,13980613
13440.17,13980616
13574.73,13980617
13804.44,13980620
14699.91,13980623
13993.72,13980624
13912.64,13980625
13679.42,13980626
13331.47,13980627
13707.28,13980630
13694.98,13980631
14099.92,13980701
14117.24,13980702
14071.80,13980703
14236.73,13980706
14469.45,13980707
14717.99,13980708
14825.94,13980709
14831.46,13980710
14977.06,13980713
14716.73,13980714
14502.59,13980715
14253.81,13980716
13989.96,13980717
14686.86,13980720
14798.57,13980721
14385.60,13980722
14162.17,13980723
13950.29,13980724
13444.94,13980728
13002.10,13980729
14066.78,13980730
13903.35,13980801
13794.65,13980804
13739.92,13980806
14079.08,13980808
14185.27,13980811
14095.15,13980812
13824.77,13980813
13731.13,13980814
13793.64,13980818
13787.62,13980819
13621.93,13980820
13720.59,13980821
13835.06,13980822
13770.04,13980825
13493.89,13980826
13579.00,13980827
13643.52,13980828
13672.64,13980829
13728.12,13980902
13751.21,13980903
13858.91,13980904
14039.92,13980905
14176.23,13980906
14462.67,13980909
14787.78,13980910
14695.39,13980911
14422.51,13980912
14878.91,13980913
15056.14,13980916
15420.16,13980917
15525.09,13980918
15581.58,13980919
15517.56,13980920
15689.78,13980923
15741.50,13980924
15741.75,13980925
15804.51,13980926
16045.51,13980927
16172.04,13980930
16761.49,13981001
16457.73,13981002
16502.66,13981003
16456.22,13981004
16701.99,13981007
16792.62,13981008
16934.21,13981009
16949.02,13981010
17057.72,13981011
16321.16,13981014
16302.33,13981015
16001.08,13981017
15682.00,13981018
15995.55,13981021
16906.09,13981022
17407.68,13981023
17764.66,13981024
17910.52,13981025
18428.93,13981028
18424.41,13981029
18558.97,13981030
18366.17,13981101
18440.47,13981102
18890.35,13981105
19094.95,13981106
19024.40,13981107
19501.39,13981108
20196.28,13981112
19744.90,13981113
20092.35,13981114
20379.54,13981115
20542.97,13981116
20844.23,13981119
21027.24,13981120
20512.35,13981121
20673.52,13981123
20877.87,13981126
21406.57,13981127
22224.47,13981128
22413.76,13981129
22477.52,13981130
22402.71,13981203
23320.78,13981204
24313.41,13981205
25878.67,13981206
24691.48,13981207
23229.15,13981210
23835.92,13981211
24192.91,13981212
24339.52,13981213
24677.42,13981214
24586.80,13981217
23419.94,13981219
22569.15,13981220
23907.97,13981221
22537.27,13981224
22144.89,13981225
23337.60,13981226
22875.93,13981227
23214.84,13981228
23303.46,13990105
23930.07,13990106
24861.44,13990109
25430.56,13990110
25069.56,13990111
26361.93,13990116
27362.09,13990117
27315.40,13990118
28252.80,13990119
29459.32,13990120
30752.45,13990123
31855.29,13990124
32512.52,13990125
31597.97,13990126
32036.79,13990127
33099.97,13990130
34306.99,13990131
35153.76,13990201
36042.46,13990202
37222.87,13990203
39160.43,13990206
41381.68,13990207
44571.45,13990208
46999.55,13990209
43826.60,13990210
45675.29,13990213
47268.67,13990214
45211.61,13990215
43497.73,13990216
42800.83,13990217
46218.05,13990220
47201.39,13990221
46248.17,13990222
43236.64,13990223
43223.84,13990224
41346.53,13990227
40080.01,13990228
42732.04,13990229
43315.47,13990230
41311.63,13990231
39678.84,13990303
37609.98,13990306
39903.27,13990307
42265.60,13990310
41470.55,13990311
42344.43,13990312
43845.93,13990313
46240.89,13990317
48765.90,13990318
47413.52,13990319
47201.89,13990320
48604.98,13990321
51005.72,13990324
49706.56,13990325
49931.00,13990326
50993.42,13990327
52811.98,13990331
53676.83,13990401
56781.50,13990402
60533.61,13990403
59819.39,13990404
62276.36,13990407
61534.53,13990408
59394.37,13990409
64620.11,13990410
68756.07,13990411
68859.00,13990414
69427.11,13990415
74432.69,13990416
74749.01,13990417
70948.44,13990418
68376.24,13990421
74120.64,13990422
72161.24,13990423
72265.17,13990424
69596.32,13990425
66824.28,13990428
71028.02,13990429
73358.22,13990430
71188.94,13990431
70643.68,13990501
72687.43,13990504
72308.10,13990505
70907.27,13990506
71732.46,13990507
70105.94,13990508
72166.26,13990511
73934.62,13990512
73643.16,13990513
73234.71,13990514
73782.74,13990515
75611.34,13990519
74778.63,13990520
73613.53,13990521
76643.39,13990522
74357.88,13990525
73189.02,13990526
75372.35,13990527
80126.38,13990528
75629.92,13990529
77560.96,13990601
73479.73,13990602
69310.88,13990603
74095.29,13990604
80164.54,13990605
79649.65,13990610
75258.88,13990611
72623.41,13990612
76822.13,13990615
76615.77,13990616
71355.39,13990617
67781.77,13990618
67781.77,13990619
67781.77,13990622
67781.77,13990623
67781.77,13990624
80360.06,13990625
82519.03,13990626
81142.31,13990629
76694.82,13990630
73866.06,13990631
77319.42,13990701
79909.18,13990702
78732.29,13990705
73422.22,13990706
70356.47,13990707
73377.03,13990708
75538.01,13990709
78855.80,13990712
75529.98,13990713
73994.59,13990714
76579.92,13990715
75001.97,13990716
73175.12,13990719
75520.41,13990720
73533.21,13990721
73394.50,13990722
71956.24,13990723
68581.94,13990727
63880.54,13990728
62725.61,13990729
66041.87,13990730
62213.07,13990803
60166.84,13990805
59682.83,13990806
60371.47,13990807
63818.57,13990810
61549.03,13990811
61032.55,13990812
64370.46,13990814
59701.53,13990817
56275.08,13990818
58219.00,13990819
59778.26,13990820
60282.93,13990821
63688.71,13990824
62856.45,13990825
62591.82,13990826
64186.49,13990827
67852.97,13990828
68784.59,13990901
68027.10,13990902
69878.54,13990903
68431.42,13990904
69110.22,13990905
69420.10,13990908
71480.10,13990909
74197.25,13990910
74643.88,13990911
73555.84,13990912
74049.69,13990915
76021.14,13990916
75233.15,13990917
74354.65,13990918
74815.05,13990919
75907.03,13990922
74697.00,13990923
70848.00,13990925
73288.00,13990926
76116.00,13990929
75564.00,13990930
75952.00,13991001
76424.00,13991002
76524.00,13991003
75307.00,13991006
74354.00,13991007
75371.00,13991008
74619.00,13991009
73370.00,13991010
70224.00,13991013
71607.00,13991014
72723.00,13991015
71087.00,13991016
68678.00,13991017
67936.00,13991020
70916.00,13991021
69971.00,13991022
65982.00,13991023
64858.00,13991024
60920.00,13991027
57768.00,13991029
62543.00,13991030
67987.00,13991101
71056.00,13991104
68241.00,13991105
67186.00,13991106
65565.00,13991107
65797.00,13991108
70350.00,13991111
68985.00,13991112
67142.00,13991113
65960.00,13991114
65382.00,13991115
62679.00,13991118
68107.00,13991119
65629.00,13991120
65672.00,13991121
68767.00,13991125
67168.00,13991126
66455.00,13991127
65455.00,13991128
65621.00,13991129
65049.00,13991202
63433.00,13991203
62592.00,13991204
64263.00,13991205
64900.00,13991206
62707.00,13991209
61906.00,13991210
63121.00,13991211
63794.00,13991212
62425.00,13991213
61553.00,13991216
62664.00,13991217
64370.00,13991218
65007.00,13991219
64711.00,13991220
66202.00,13991223
67100.00,13991224
67577.00,13991225
70832.00,13991226
72251.00,13991227
72735.00,14000107
72124.00,14000108
71688.00,14000110
70543.00,14000111
69114.00,14000114
67532.00,14000115
68498.00,14000116
68440.00,14000117
66538.00,14000118
64385.00,14000121
64124.00,14000122
65128.00,14000123
67341.00,14000124
66692.00,14000125
64315.00,14000128
62574.00,14000129
64197.00,14000130
65571.00,14000131
63875.00,14000201
63386.00,14000204
62161.00,14000205
63467.00,14000206
65034.00,14000207
65841.00,14000208
64392.00,14000211
63065.00,14000212
62662.00,14000213
63322.00,14000215
62279.00,14000218
61132.00,14000219
62312.00,14000220
64006.00,14000221
63930.00,14000222
64593.00,14000225
64335.00,14000226
63224.00,14000227
63904.00,14000228
62532.00,14000229
61241.00,14000301
59963.00,14000302
59742.00,14000303
61016.00,14000304
61008.00,14000305
64106.00,14000308
65397.00,14000309
64313.00,14000310
63692.00,14000311
64645.00,14000312
65133.00,14000317
65500.00,14000318
64464.00,14000319
64640.00,14000322
64540.00,14000323
65164.00,14000324
64560.00,14000325
64125.00,14000326
64850.00,14000329
64458.00,14000330
64488.00,14000331
65241.00,14000401
66734.00,14000402
69848.00,14000405
70176.00,14000406
69704.00,14000407
70134.00,14000408
70667.00,14000409
