<CLOSE>,<COL14>
24196.22,13980105
24210.88,13980106
24354.55,13980107
25175.56,13980110
25175.56,13980111
24905.80,13980117
25095.41,13980118
24888.21,13980119
24888.21,13980120
24888.21,13980121
25728.76,13980124
25374.95,13980125
26391.43,13980126
26391.43,13980127
26018.07,13980128
26521.42,13980131
27317.99,13980202
26329.86,13980203
26374.82,13980204
26562.47,13980207
26921.17,13980208
27282.81,13980209
27682.56,13980210
27489.04,13980211
28612.06,13980214
27993.37,13980215
27396.19,13980216
26493.08,13980217
27023.80,13980218
26491.12,13980221
26164.68,13980222
26530.22,13980223
27279.88,13980224
27357.09,13980225
27544.75,13980228
27516.40,13980229
27374.68,13980230
27800.82,13980231
27800.82,13980301
27800.82,13980304
27814.51,13980305
28416.58,13980307
28565.14,13980308
28241.63,13980311
28692.20,13980312
29009.85,13980313
29093.91,13980318
29551.33,13980319
29579.67,13980320
29591.40,13980321
29624.63,13980322
29624.63,13980325
29806.42,13980326
29448.70,13980327
29535.69,13980328
29608.01,13980329
29505.39,13980401
29868.00,13980402
30193.47,13980403
30533.60,13980404
30736.90,13980405
30986.13,13980409
30729.08,13980410
31098.53,13980411
30997.86,13980412
30815.09,13980415
31152.29,13980416
31472.87,13980417
31163.04,13980418
31328.22,13980419
31448.44,13980422
31571.59,13980423
31684.96,13980424
30865.91,13980425
31336.04,13980426
31196.27,13980429
31196.27,13980430
31196.27,13980431
31183.56,13980501
31228.52,13980502
31291.08,13980505
31291.08,13980506
30990.04,13980507
31157.17,13980508
31223.64,13980509
31305.74,13980512
31305.74,13980513
31622.41,13980514
31577.45,13980515
31649.78,13980516
31594.07,13980519
31594.07,13980520
31594.07,13980522
32144.34,13980523
32213.73,13980526
32213.73,13980527
32179.52,13980528
32239.14,13980530
32889.11,13980602
32604.69,13980603
32903.77,13980604
33365.09,13980605
33193.07,13980606
33499.00,13980609
33928.07,13980610
33555.68,13980611
33663.20,13980612
33980.85,13980613
34449.02,13980616
34959.21,13980617
35499.71,13980620
35828.11,13980623
36002.09,13980624
36404.77,13980625
35670.75,13980626
35241.68,13980627
35692.25,13980630
35914.12,13980631
36832.87,13980701
36196.59,13980702
36163.36,13980703
37525.83,13980706
37062.55,13980707
37429.07,13980708
37313.74,13980709
37261.94,13980710
38418.19,13980713
37126.08,13980714
37854.24,13980715
37711.54,13980716
36646.19,13980717
37793.64,13980720
37729.13,13980721
36944.29,13980722
36654.98,13980723
35949.31,13980724
35233.86,13980728
