<CLOSE>,<COL14>
10056.83,13980105
10070.84,13980106
10084.86,13980107
10086.86,13980110
10105.88,13980111
10111.88,13980117
10112.88,13980118
10115.88,13980119
10122.89,13980120
10130.90,13980121
10152.92,13980124
10160.92,13980125
10162.93,13980126
10172.93,13980127
10179.94,13980128
10196.96,13980131
10018.80,13980202
10028.81,13980203
10029.81,13980204
10047.82,13980207
10047.82,13980208
10052.83,13980209
10060.84,13980210
10074.85,13980211
10082.85,13980214
10091.86,13980215
10094.87,13980216
10105.88,13980217
10121.89,13980218
10143.91,13980221
10136.90,13980222
10143.91,13980223
10145.91,13980224
10163.93,13980225
10171.93,13980228
10170.93,13980229
10176.94,13980230
10178.94,13980231
10027.81,13980301
10030.81,13980304
10037.82,13980305
10043.82,13980307
10055.83,13980308
10073.85,13980311
10080.85,13980312
10100.87,13980313
10110.88,13980318
10115.88,13980319
10121.89,13980320
10129.90,13980321
10136.90,13980322
10151.92,13980325
10155.92,13980326
10162.93,13980327
10168.93,13980328
10183.94,13980329
10026.81,13980401
10045.82,13980402
10046.82,13980403
10048.83,13980404
10052.83,13980405
10057.83,13980409
10063.84,13980410
10068.84,13980411
10073.85,13980412
10093.86,13980415
10100.87,13980416
10109.88,13980417
10114.88,13980418
10117.89,13980419
10128.90,13980422
10135.90,13980423
10143.91,13980424
10153.92,13980425
10160.92,13980426
10171.93,13980429
10175.94,13980430
10179.94,13980431
10021.80,13980501
10036.81,13980502
10054.83,13980505
10082.85,13980506
10079.85,13980507
10079.85,13980508
10085.86,13980509
10085.86,13980512
10082.85,13980513
10088.86,13980514
10098.87,13980515
10116.88,13980516
10127.89,13980519
10160.92,13980520
10170.93,13980522
10191.95,13980523
10195.95,13980526
10186.95,13980527
10180.94,13980528
10192.95,13980530
10040.82,13980602
10047.82,13980603
10061.84,13980604
10075.85,13980605
10080.85,13980606
10081.85,13980609
10099.87,13980610
10110.88,13980611
10117.89,13980612
10116.88,13980613
10114.88,13980616
10117.89,13980617
10130.90,13980620
10137.90,13980623
10139.91,13980624
10148.91,13980625
10153.92,13980626
10167.93,13980627
10175.94,13980630
10183.94,13980631
10018.80,13980701
10029.81,13980702
10040.82,13980703
10043.82,13980706
10051.83,13980707
10057.83,13980708
10061.84,13980709
10073.85,13980710
10087.86,13980713
10107.88,13980714
10123.89,13980715
10145.91,13980716
10142.91,13980717
10138.90,13980720
10146.91,13980721
10157.92,13980722
10169.93,13980723
10192.95,13980724
10164.93,13980728
10169.93,13980729
10174.94,13980730
10019.80,13980801
10041.82,13980804
10049.83,13980806
10059.83,13980808
10074.85,13980811
10083.86,13980812
10088.86,13980813
10100.87,13980814
10112.88,13980818
10119.89,13980819
10127.89,13980820
10130.90,13980821
10136.90,13980822
10154.92,13980825
10158.92,13980826
10166.93,13980827
10169.93,13980828
10175.94,13980829
10023.80,13980902
10031.81,13980903
10038.82,13980904
10043.82,13980905
10047.82,13980906
10065.84,13980909
10067.84,13980910
10074.85,13980911
10081.85,13980912
10085.86,13980913
10094.87,13980916
10099.87,13980917
10106.88,13980918
10112.88,13980919
10121.89,13980920
10134.90,13980923
10141.91,13980924
10147.91,13980925
10150.91,13980926
10157.92,13980927
10177.94,13980930
10019.80,13981001
10022.80,13981002
10027.81,13981003
10033.81,13981004
10046.82,13981007
10053.83,13981008
10064.84,13981009
10075.85,13981010
10080.85,13981011
10090.86,13981014
10124.89,13981015
10132.90,13981017
10128.90,13981018
10130.90,13981021
10139.91,13981022
10143.91,13981023
10151.92,13981024
10158.92,13981025
10169.93,13981028
10170.93,13981029
10176.94,13981030
10018.80,13981101
10025.80,13981102
10033.81,13981105
10037.82,13981106
10045.82,13981107
10053.83,13981108
10074.85,13981112
10082.85,13981113
10085.86,13981114
10090.86,13981115
10096.87,13981116
10112.88,13981119
10117.89,13981120
10127.89,13981121
10132.90,13981123
10151.92,13981126
10155.92,13981127
10163.93,13981128
10167.93,13981129
10175.94,13981130
10025.80,13981203
10030.81,13981204
10035.81,13981205
10039.82,13981206
10045.82,13981207
10065.84,13981210
10068.84,13981211
10079.85,13981212
10086.86,13981213
10092.86,13981214
10100.87,13981217
10119.89,13981219
10122.89,13981220
10128.90,13981221
10150.91,13981224
10184.94,13981225
10065.84,13981226
10118.89,13981227
10146.91,13981228
10141.91,13990105
10166.93,13990106
10165.93,13990109
10190.95,13990110
10173.93,13990111
10151.92,13990116
10126.89,13990117
10132.90,13990118
10147.91,13990119
10158.92,13990120
10168.93,13990123
10179.94,13990124
10188.95,13990125
10200.96,13990126
10195.95,13990127
10196.96,13990130
10201.96,13990131
10031.81,13990201
10051.83,13990202
10080.85,13990203
10082.85,13990206
10092.86,13990207
10119.89,13990208
10144.91,13990209
10171.93,13990210
10151.92,13990213
10184.94,13990214
10237.99,13990215
10303.05,13990216
10221.98,13990217
10246.00,13990220
10292.04,13990221
10376.11,13990222
10338.08,13990223
10279.03,13990224
10361.10,13990227
10479.20,13990228
10257.01,13990229
10253.00,13990230
10247.00,13990231
10075.85,13990303
10085.86,13990306
10100.87,13990307
10127.89,13990310
10133.90,13990311
10165.93,13990312
10154.92,13990313
10139.91,13990317
10135.90,13990318
10140.91,13990319
10151.92,13990320
10163.93,13990321
10178.94,13990324
10188.95,13990325
10208.97,13990326
10218.97,13990327
10259.01,13990331
10058.83,13990401
10068.84,13990402
10108.88,13990403
10118.89,13990404
10148.91,13990407
10168.93,13990408
10158.92,13990409
10178.94,13990410
10188.95,13990411
10238.99,13990414
10299.04,13990415
10409.14,13990416
10389.12,13990417
10409.14,13990418
10419.15,13990421
10439.17,13990422
10459.19,13990423
10489.21,13990424
10589.30,13990425
10709.41,13990428
10729.42,13990429
10769.46,13990430
10779.47,13990431
10719.41,13990501
10679.38,13990504
10589.30,13990505
10549.26,13990506
10509.23,13990507
10589.30,13990508
10569.28,13990511
10509.23,13990512
10539.26,13990513
10569.28,13990514
10629.33,13990515
10659.36,13990519
10699.40,13990520
10629.33,13990521
10649.35,13990522
10719.41,13990525
10729.42,13990526
10689.39,13990527
10699.40,13990528
10789.48,13990529
10589.30,13990601
10609.32,13990602
10489.21,13990603
10429.16,13990604
10479.20,13990605
10539.26,13990610
10589.30,13990611
10639.34,13990612
10649.35,13990615
10649.35,13990616
10649.35,13990617
10659.36,13990618
10629.33,13990619
10609.32,13990622
10549.26,13990623
10499.22,13990624
10429.16,13990625
10429.16,13990626
10509.23,13990629
10499.22,13990630
10519.24,13990631
10319.06,13990701
10339.08,13990702
10339.08,13990705
10339.08,13990706
10369.11,13990707
10359.10,13990708
10329.07,13990709
10329.07,13990712
10349.09,13990713
10359.10,13990714
10349.09,13990715
10359.10,13990716
10389.12,13990719
10379.12,13990720
10379.12,13990721
10399.13,13990722
10409.14,13990723
10409.14,13990727
10409.14,13990728
10409.14,13990729
10399.13,13990730
10218.97,13990803
10218.97,13990805
10208.97,13990806
10208.97,13990807
10218.97,13990810
10219.98,13990811
10220.98,13990812
10215.97,13990814
10219.98,13990817
10231.99,13990818
10237.99,13990819
10244.00,13990820
10248.00,13990821
10259.01,13990824
10266.02,13990825
10267.02,13990826
10264.01,13990827
10269.02,13990828
10148.91,13990901
10154.92,13990902
10151.92,13990903
10151.92,13990904
10150.91,13990905
10153.92,13990908
10154.92,13990909
10150.91,13990910
10153.92,13990911
10171.93,13990912
10201.96,13990915
10200.96,13990916
10204.96,13990917
10215.97,13990918
10228.98,13990919
10236.99,13990922
10248.00,13990923
10246.00,13990925
10257.00,13990926
10265.00,13990929
10278.00,13990930
10128.00,13991001
10133.00,13991002
10140.00,13991003
10150.00,13991006
10158.00,13991007
10162.00,13991008
10163.00,13991009
10167.00,13991010
10175.00,13991013
10182.00,13991014
10195.00,13991015
10199.00,13991016
10210.00,13991017
10215.00,13991020
10220.00,13991021
10224.00,13991022
10232.00,13991023
10233.00,13991024
10233.00,13991027
10241.00,13991029
10247.00,13991030
10108.00,13991101
10121.00,13991104
10126.00,13991105
10132.00,13991106
10135.00,13991107
10140.00,13991108
10144.00,13991111
10150.00,13991112
10162.00,13991113
10169.00,13991114
10172.00,13991115
10183.00,13991118
10188.00,13991119
10197.00,13991120
10207.00,13991121
10220.00,13991125
10231.00,13991126
10238.00,13991127
10241.00,13991128
10259.00,13991129
10094.00,13991202
10097.00,13991203
10099.00,13991204
10099.00,13991205
10108.00,13991206
10122.00,13991209
10127.00,13991210
10129.00,13991211
10134.00,13991212
10138.00,13991213
10155.00,13991216
10159.00,13991217
10167.00,13991218
10175.00,13991219
10184.00,13991220
10193.00,13991223
10208.00,13991224
10210.00,13991225
10070.00,13991226
10097.00,13991227
10122.00,14000107
10125.00,14000108
10131.00,14000110
10137.00,14000111
10145.00,14000114
10154.00,14000115
10157.00,14000116
10163.00,14000117
10172.00,14000118
10184.00,14000121
10185.00,14000122
10181.00,14000123
10185.00,14000124
10188.00,14000125
10194.00,14000128
10202.00,14000129
10205.00,14000130
10213.00,14000131
10051.00,14000201
10058.00,14000204
10062.00,14000205
10067.00,14000206
10075.00,14000207
10085.00,14000208
10093.00,14000211
10095.00,14000212
10097.00,14000213
10098.00,14000215
10107.00,14000218
10112.00,14000219
10115.00,14000220
10122.00,14000221
10129.00,14000222
10136.00,14000225
10149.00,14000226
10156.00,14000227
10161.00,14000228
10165.00,14000229
10024.00,14000301
10027.00,14000302
10030.00,14000303
10034.00,14000304
10037.00,14000305
10035.00,14000308
10038.00,14000309
10063.00,14000310
10068.00,14000311
10075.00,14000312
10086.00,14000317
10087.00,14000318
10093.00,14000319
10102.00,14000322
10112.00,14000323
10114.00,14000324
10117.00,14000325
10132.00,14000326
10143.00,14000329
10148.00,14000330
10155.00,14000331
10007.00,14000401
10009.00,14000402
10017.00,14000405
10025.00,14000406
10030.00,14000407
10031.00,14000408
10037.00,14000409
