<CLOSE>,<COL14>
29426.50,13980105
29426.50,13980106
30332.35,13980107
30383.89,13980110
30031.06,13980111
30031.06,13980117
31318.49,13980118
31282.81,13980119
30883.40,13980120
31620.77,13980121
31620.77,13980124
31713.94,13980125
31893.32,13980126
31913.15,13980127
31480.04,13980128
31456.25,13980131
31899.27,13980202
31899.27,13980203
31615.82,13980204
31981.53,13980207
31715.92,13980208
32828.91,13980209
33421.59,13980210
33240.22,13980211
33947.86,13980214
34300.68,13980215
34300.68,13980216
32648.54,13980217
32653.49,13980218
32653.49,13980221
31898.28,13980222
31898.28,13980223
31714.93,13980224
31687.18,13980225
31642.58,13980228
31764.48,13980229
32110.37,13980230
31664.38,13980231
31903.23,13980301
32537.53,13980304
32537.53,13980305
32452.30,13980307
32694.13,13980308
33003.35,13980311
33052.90,13980312
33175.80,13980313
33857.67,13980318
33498.89,13980319
33794.24,13980320
33814.06,13980321
34088.59,13980322
34539.54,13980325
34299.69,13980326
34331.41,13980327
34829.93,13980328
34320.51,13980329
34236.26,13980401
34842.81,13980402
35099.50,13980403
34971.65,13980404
35177.80,13980405
35402.78,13980409
35302.68,13980410
35302.68,13980411
35302.68,13980412
35408.73,13980415
35356.20,13980416
35412.69,13980417
35457.29,13980418
35299.70,13980419
35299.70,13980422
35299.70,13980423
35299.70,13980424
34785.33,13980425
34785.33,13980426
34245.18,13980429
34562.33,13980430
34985.53,13980431
35057.88,13980501
35057.88,13980502
35057.88,13980505
35243.21,13980506
35023.19,13980507
34500.89,13980508
34500.89,13980509
34500.89,13980512
35181.77,13980513
35181.77,13980514
34771.45,13980515
34998.41,13980516
34998.41,13980519
34998.41,13980520
34241.22,13980522
34699.10,13980523
34894.35,13980526
34894.35,13980527
34894.35,13980528
34894.35,13980530
35379.98,13980602
35530.63,13980603
36080.69,13980604
35601.99,13980605
35601.99,13980606
36232.32,13980609
36128.26,13980610
36376.03,13980611
36376.03,13980612
36376.03,13980613
37047.99,13980616
37440.46,13980617
37440.46,13980620
37053.94,13980623
37053.94,13980624
37238.28,13980625
37238.28,13980626
37696.16,13980627
37391.90,13980630
37613.90,13980631
37613.90,13980701
37660.48,13980702
37649.58,13980703
37945.92,13980706
38244.24,13980707
38504.89,13980708
38676.35,13980709
38991.52,13980710
41526.73,13980713
40879.55,13980714
40830.00,13980715
40759.63,13980716
41186.79,13980717
41337.43,13980720
40895.41,13980721
40854.77,13980722
40854.77,13980723
40763.59,13980724
41623.86,13980728
40567.36,13980729
41819.10,13980730
41560.43,13980801
41450.42,13980804
41493.04,13980806
41605.03,13980808
41643.68,13980811
40729.90,13980812
40564.38,13980813
40214.53,13980814
41220.49,13980818
41022.27,13980819
41022.27,13980820
41147.14,13980821
40524.74,13980822
40541.59,13980825
41278.96,13980826
40566.37,13980827
41308.69,13980828
41035.15,13980829
40958.84,13980902
41246.25,13980903
41097.59,13980904
41098.58,13980905
41317.61,13980906
41042.09,13980909
40806.21,13980910
41169.94,13980911
41274.00,13980912
41246.25,13980913
41762.61,13980916
42029.22,13980917
42477.19,13980918
42585.22,13980919
42695.23,13980920
43353.31,13980923
43719.03,13980924
43610.01,13980925
43632.80,13980926
43443.50,13980927
43804.26,13980930
44559.47,13981001
45096.64,13981002
45110.52,13981003
45138.27,13981004
44329.54,13981007
45508.94,13981008
45027.27,13981009
45832.03,13981010
45886.54,13981011
45046.10,13981014
44094.65,13981015
44909.33,13981017
44068.88,13981018
44167.99,13981021
44391.98,13981022
45002.49,13981023
46188.83,13981024
46397.95,13981025
47272.09,13981028
47001.52,13981029
47905.40,13981030
47923.24,13981101
47387.06,13981102
47979.73,13981105
47826.11,13981106
47548.60,13981107
48012.44,13981108
48021.36,13981112
48183.89,13981113
48528.79,13981114
49162.10,13981115
49956.96,13981116
50139.32,13981119
50515.93,13981120
50099.67,13981121
49776.58,13981123
50252.30,13981126
50540.71,13981127
51197.80,13981128
50690.36,13981129
51154.20,13981130
51675.51,13981203
52028.34,13981204
52479.28,13981205
52224.57,13981206
53122.50,13981207
52999.61,13981210
53114.57,13981211
52429.73,13981212
54792.49,13981213
55028.37,13981214
54986.75,13981217
51761.73,13981219
51215.64,13981220
52524.87,13981221
52471.36,13981224
50104.63,13981225
51809.31,13981226
50752.80,13981227
51660.64,13981228
51995.63,13990105
52880.68,13990106
52813.28,13990109
53309.82,13990110
53409.92,13990111
53676.52,13990116
56263.27,13990117
55626.99,13990118
57102.73,13990119
57087.86,13990120
56908.47,13990123
58195.90,13990124
58249.42,13990125
57846.04,13990126
59399.09,13990127
61140.43,13990130
61860.96,13990131
63051.26,13990201
64772.78,13990202
65612.24,13990203
68732.19,13990206
70320.91,13990207
71690.60,13990208
73915.60,13990209
75558.83,13990210
77036.55,13990213
80216.96,13990214
79578.70,13990215
78671.85,13990216
76715.44,13990217
79946.39,13990220
83023.73,13990221
81330.95,13990222
79412.20,13990223
79003.87,13990224
75200.06,13990227
73728.29,13990228
76510.28,13990229
77365.59,13990230
76254.58,13990231
75758.04,13990303
76148.53,13990306
79247.67,13990307
80889.91,13990310
78934.49,13990311
80369.59,13990312
81883.98,13990313
84999.97,13990317
88288.41,13990318
89211.12,13990319
92125.92,13990320
93141.79,13990321
98946.61,13990324
101934.75,13990325
102618.60,13990326
104701.88,13990327
106723.70,13990331
103904.05,13990401
105067.59,13990402
112733.68,13990403
121703.06,13990404
124937.98,13990407
122158.96,13990408
115668.30,13990409
119809.08,13990410
124188.72,13990411
124829.95,13990414
126437.50,13990415
130134.27,13990416
129893.44,13990417
126730.87,13990418
122057.87,13990421
129246.26,13990422
126111.43,13990423
123427.56,13990424
120976.59,13990425
122124.27,13990428
126480.12,13990429
128820.09,13990430
128778.46,13990431
128488.07,13990501
132756.70,13990504
136465.37,13990505
137929.21,13990506
143774.67,13990507
145617.11,13990508
146636.94,13990511
148294.04,13990512
146509.09,13990513
144467.44,13990514
143920.36,13990515
146653.79,13990519
144603.22,13990520
138448.54,13990521
138787.49,13990522
132724.99,13990525
128816.12,13990526
129433.57,13990527
132559.48,13990528
128409.78,13990529
127671.41,13990601
121251.12,13990602
118677.26,13990603
122935.98,13990604
125658.51,13990605
121843.79,13990610
118021.15,13990611
115203.48,13990612
117370.01,13990615
116303.59,13990616
112001.27,13990617
108735.62,13990618
112523.57,13990619
113736.67,13990622
109559.22,13990623
110495.80,13990624
111734.66,13990625
111022.07,13990626
109750.50,13990629
107702.90,13990630
105311.40,13990631
108463.07,13990701
107624.61,13990702
105116.15,13990705
101716.71,13990706
100178.53,13990707
100583.89,13990708
101455.06,13990709
102922.87,13990712
102068.55,13990713
101338.11,13990714
100612.90,13990715
103159.49,13990716
103922.09,13990719
105944.21,13990720
107078.76,13990721
107127.96,13990722
106296.48,13990723
103460.60,13990727
101188.54,13990728
99605.29,13990729
101547.70,13990730
98729.53,13990803
97164.97,13990805
95776.55,13990806
95272.74,13990807
96661.17,13990810
94902.76,13990811
94441.26,13990812
95495.13,13990814
93422.82,13990817
91493.20,13990818
91507.96,13990819
91919.27,13990820
92633.66,13990821
95345.56,13990824
95103.49,13990825
95349.49,13990826
96241.98,13990827
100773.30,13990828
99334.69,13990901
97535.94,13990902
98760.03,13990903
98871.23,13990904
99886.71,13990905
101307.61,13990908
103061.09,13990909
104483.96,13990910
104759.48,13990911
105618.51,13990912
106069.18,13990915
106725.51,13990916
106901.64,13990917
107039.40,13990918
106933.13,13990919
109043.81,13990922
108540.00,13990923
106341.00,13990925
107150.00,13990926
107598.00,13990929
108391.00,13990930
109491.00,13991001
111183.00,13991002
112480.00,13991003
113901.00,13991006
114745.00,13991007
114656.00,13991008
114869.00,13991009
114753.00,13991010
112078.00,13991013
112539.00,13991014
112493.00,13991015
112732.00,13991016
110956.00,13991017
109347.00,13991020
109516.00,13991021
110188.00,13991022
108656.00,13991023
106598.00,13991024
103421.00,13991027
101542.00,13991029
103484.00,13991030
104974.00,13991101
106979.00,13991104
106365.00,13991105
105141.00,13991106
102627.00,13991107
103404.00,13991108
104704.00,13991111
105218.00,13991112
104192.00,13991113
101076.00,13991114
102506.00,13991115
100447.00,13991118
102621.00,13991119
102742.00,13991120
102907.00,13991121
105562.00,13991125
105127.00,13991126
104894.00,13991127
103812.00,13991128
104300.00,13991129
103742.00,13991202
102600.00,13991203
101907.00,13991204
102399.00,13991205
103661.00,13991206
102923.00,13991209
101565.00,13991210
101795.00,13991211
101520.00,13991212
100959.00,13991213
101676.00,13991216
99764.00,13991217
101851.00,13991218
102368.00,13991219
101126.00,13991220
102468.00,13991223
103169.00,13991224
104068.00,13991225
104785.00,13991226
106042.00,13991227
106211.00,14000107
108961.00,14000108
108822.00,14000110
108343.00,14000111
107379.00,14000114
106894.00,14000115
106282.00,14000116
107608.00,14000117
106821.00,14000118
104978.00,14000121
103908.00,14000122
103457.00,14000123
105934.00,14000124
103925.00,14000125
103991.00,14000128
103154.00,14000129
103843.00,14000130
103256.00,14000131
102460.00,14000201
102252.00,14000204
101227.00,14000205
101525.00,14000206
102895.00,14000207
103837.00,14000208
103837.00,14000211
103837.00,14000212
101464.00,14000213
102050.00,14000215
103773.00,14000218
102390.00,14000219
102499.00,14000220
103186.00,14000221
103233.00,14000222
103336.00,14000225
104513.00,14000226
102081.00,14000227
102278.00,14000228
102662.00,14000229
100216.00,14000301
98827.00,14000302
101299.00,14000303
101469.00,14000304
101819.00,14000305
101830.00,14000308
103644.00,14000309
101636.00,14000310
102531.00,14000311
102382.00,14000312
102874.00,14000317
103818.00,14000318
103339.00,14000319
102334.00,14000322
102453.00,14000323
103399.00,14000324
102110.00,14000325
102110.00,14000326
102279.00,14000329
102416.00,14000330
102452.00,14000331
103792.00,14000401
105935.00,14000402
106837.00,14000405
107589.00,14000406
107167.00,14000407
107944.00,14000408
108134.00,14000409
