<CLOSE>,<COL14>
18945.16,13980105
18954.08,13980106
19306.81,13980107
19167.10,13980110
19233.49,13980111
19332.57,13980117
20139.08,13980118
19964.70,13980119
19964.70,13980120
20602.78,13980121
20843.54,13980124
20356.07,13980125
21242.84,13980126
21302.28,13980127
20821.74,13980128
21144.75,13980131
21144.75,13980202
20762.30,13980203
21123.94,13980204
21123.94,13980207
21723.38,13980208
22562.59,13980209
22785.52,13980210
22392.17,13980211
23364.15,13980214
23512.77,13980215
22620.05,13980216
21234.91,13980217
22194.01,13980218
22194.01,13980221
22194.01,13980222
22194.01,13980223
21599.53,13980224
22094.93,13980225
21594.57,13980228
21612.41,13980229
21612.41,13980230
21612.41,13980231
21612.41,13980301
21612.41,13980304
22290.12,13980305
22290.12,13980307
23445.39,13980308
23445.39,13980311
22762.73,13980312
23579.15,13980313
23570.23,13980318
23652.47,13980319
24126.08,13980320
24009.16,13980321
24274.70,13980322
23922.96,13980325
24273.71,13980326
24571.94,13980327
25116.88,13980328
25116.88,13980329
24687.86,13980401
24522.40,13980402
24770.10,13980403
25174.35,13980404
26009.59,13980405
25875.84,13980409
25785.67,13980410
26006.62,13980411
25383.41,13980412
25277.39,13980415
25760.90,13980416
26120.56,13980417
26254.32,13980418
26418.80,13980419
25904.57,13980422
26604.08,13980423
26604.08,13980424
25701.45,13980425
26066.07,13980426
26004.64,13980429
26004.64,13980430
25760.90,13980431
25895.65,13980501
26355.38,13980502
26355.38,13980505
26444.56,13980506
26454.46,13980507
26426.72,13980508
26426.72,13980509
25533.02,13980512
25998.69,13980513
26008.60,13980514
26263.24,13980515
26513.91,13980516
26373.22,13980519
26750.72,13980520
26751.71,13980522
26524.81,13980523
26807.19,13980526
27249.09,13980527
27251.07,13980528
28211.16,13980530
28589.65,13980602
28456.88,13980603
28504.44,13980604
29364.46,13980605
28908.69,13980606
29526.95,13980609
29794.46,13980610
30185.83,13980611
29430.84,13980612
29815.27,13980613
30612.87,13980616
30882.37,13980617
31083.50,13980620
31456.04,13980623
31402.54,13980624
31775.08,13980625
31514.50,13980626
30843.73,13980627
30727.80,13980630
31217.26,13980631
31647.27,13980701
32055.48,13980702
31986.12,13980703
32826.32,13980706
32798.58,13980707
32800.56,13980708
32881.81,13980709
33072.04,13980710
33179.05,13980713
32578.62,13980714
32760.93,13980715
31883.08,13980716
31203.39,13980717
32446.85,13980720
32123.84,13980721
31536.30,13980722
30864.53,13980723
30694.11,13980724
30251.23,13980728
29937.14,13980729
31381.73,13980730
30959.65,13980801
31090.44,13980804
31292.56,13980806
32295.25,13980808
32287.33,13980811
32052.51,13980812
30795.18,13980813
31650.24,13980814
31011.17,13980818
31011.17,13980819
30604.94,13980820
