<CLOSE>,<COL14>
26934.77,13980105
27211.26,13980106
27680.70,13980107
28211.79,13980110
27911.44,13980111
28309.26,13980117
28752.84,13980118
28722.00,13980119
29142.70,13980120
29684.74,13980121
29844.87,13980124
29845.86,13980125
30362.04,13980126
30302.37,13980127
30051.74,13980128
30681.29,13980131
30712.13,13980202
30426.69,13980203
30445.58,13980204
30450.56,13980207
30838.44,13980208
31694.76,13980209
32023.96,13980210
32394.93,13980211
32951.88,13980214
33009.57,13980215
31295.94,13980216
30343.14,13980217
30436.63,13980218
30142.24,13980221
30066.65,13980222
30773.79,13980223
31058.23,13980224
31058.23,13980225
31247.20,13980228
31419.26,13980229
31034.36,13980230
31427.22,13980231
31397.38,13980301
30989.61,13980304
31274.05,13980305
31729.57,13980307
32013.02,13980308
32043.85,13980311
32031.91,13980312
32113.47,13980313
32172.15,13980318
32658.49,13980319
32822.59,13980320
32789.77,13980321
33113.00,13980322
33337.77,13980325
33398.44,13980326
32964.81,13980327
33280.09,13980328
32661.47,13980329
32610.75,13980401
33167.70,13980402
33708.75,13980403
34004.13,13980404
34187.13,13980405
34233.88,13980409
33778.37,13980410
33885.78,13980411
34012.09,13980412
33776.38,13980415
34454.67,13980416
35294.08,13980417
35237.39,13980418
36140.45,13980419
36570.11,13980422
37063.41,13980423
36608.89,13980424
35161.80,13980425
35243.36,13980426
35455.20,13980429
35395.53,13980430
35995.25,13980431
35278.17,13980501
35667.04,13980502
35802.30,13980505
35906.73,13980506
36062.88,13980507
36062.88,13980508
36188.19,13980509
36248.86,13980512
36536.29,13980513
36849.58,13980514
36782.94,13980515
37140.99,13980516
37565.66,13980519
37740.71,13980520
38087.81,13980522
38536.36,13980523
38523.43,13980526
38642.78,13980527
38624.87,13980528
39173.87,13980530
40471.78,13980602
40188.33,13980603
41080.45,13980604
41158.03,13980605
40524.49,13980606
41552.87,13980609
41570.77,13980610
41529.00,13980611
41235.60,13980612
41773.66,13980613
42743.36,13980616
42962.17,13980617
