<CLOSE>,<COL14>
27467.44,13980105
27447.37,13980106
27821.59,13980107
27826.61,13980110
27604.88,13980111
27883.79,13980117
28642.26,13980118
28294.13,13980119
27790.49,13980120
28699.45,13980121
28848.93,13980124
28799.77,13980125
29879.29,13980126
29986.64,13980127
28718.51,13980128
29225.16,13980131
29246.23,13980202
29041.56,13980203
28691.42,13980204
29178.01,13980207
30348.82,13980208
31500.57,13980209
31482.51,13980210
32041.33,13980211
32880.06,13980214
32635.26,13980215
31177.52,13980216
29785.99,13980217
30343.80,13980218
30473.22,13980221
29554.23,13980222
30830.39,13980223
31038.06,13980224
30438.11,13980225
31453.42,13980228
31547.72,13980229
31469.47,13980230
31400.24,13980231
31233.70,13980301
30989.91,13980304
31585.85,13980305
32977.38,13980307
32981.39,13980308
32635.26,13980311
33174.02,13980312
33987.67,13980313
34005.73,13980318
34494.32,13980319
34954.82,13980320
34374.93,13980321
35288.90,13980322
35210.65,13980325
35016.02,13980326
34505.35,13980327
34833.42,13980328
34609.69,13980329
34266.58,13980401
34808.34,13980402
35707.27,13980403
36355.38,13980404
36799.82,13980405
36943.29,13980409
36802.83,13980410
36638.30,13980411
36468.75,13980412
36031.32,13980415
36086.50,13980416
36651.34,13980417
36835.94,13980418
37033.58,13980419
37219.19,13980422
38141.19,13980423
38223.46,13980424
36649.33,13980425
36337.32,13980426
36920.22,13980429
36628.26,13980430
37197.12,13980431
37146.95,13980501
37777.01,13980502
37748.91,13980505
38142.19,13980506
38011.77,13980507
38163.26,13980508
37981.67,13980509
37511.14,13980512
37670.66,13980513
38427.12,13980514
38246.53,13980515
37993.71,13980516
37311.49,13980519
37389.74,13980520
37328.55,13980522
37830.18,13980523
38004.75,13980526
38267.60,13980527
38624.77,13980528
39111.35,13980530
39084.26,13980602
39291.94,13980603
40051.41,13980604
41210.18,13980605
41813.15,13980606
42246.56,13980609
42583.66,13980610
42445.21,13980611
41763.99,13980612
41829.20,13980613
43576.89,13980616
43806.64,13980617
44202.93,13980620
44652.39,13980623
44129.69,13980624
45094.83,13980625
45076.77,13980626
43346.14,13980627
44563.10,13980630
44149.76,13980631
45985.73,13980701
47325.09,13980702
47501.67,13980703
48189.91,13980706
47090.33,13980707
48497.91,13980708
48879.15,13980709
48390.56,13980710
48496.91,13980713
47118.42,13980714
47719.38,13980715
47114.41,13980716
46115.16,13980717
47301.02,13980720
48715.62,13980721
47028.13,13980722
45714.85,13980723
45337.62,13980724
44847.03,13980728
45577.40,13980729
47252.86,13980730
46795.37,13980801
45884.40,13980804
46503.42,13980806
47022.11,13980808
47055.22,13980811
46603.75,13980812
45613.52,13980813
45454.00,13980814
45756.99,13980818
46262.64,13980819
45879.39,13980820
46094.09,13980821
46312.80,13980822
46241.57,13980825
45003.54,13980826
46560.61,13980827
46084.05,13980828
45985.73,13980829
45677.73,13980902
45676.73,13980903
46394.06,13980904
46424.16,13980905
46936.83,13980906
46590.70,13980909
46653.91,13980910
47490.63,13980911
47675.23,13980912
48066.51,13980913
48234.05,13980916
49626.59,13980917
50604.77,13980918
51358.23,13980919
51463.57,13980920
51413.41,13980923
51436.48,13980924
51835.78,13980925
52024.40,13980926
52564.15,13980927
53252.39,13980930
53658.72,13981001
54150.32,13981002
54401.13,13981003
53822.25,13981004
54974.00,13981007
55797.68,13981008
56063.55,13981009
56794.93,13981010
58647.96,13981011
54611.82,13981014
56055.52,13981015
53004.59,13981017
51990.29,13981018
53029.67,13981021
57017.65,13981022
58832.56,13981023
58883.73,13981024
59663.27,13981025
61551.42,13981028
62428.27,13981029
61770.13,13981030
60827.06,13981101
60822.04,13981102
61800.23,13981105
62466.40,13981106
63398.43,13981107
64106.74,13981108
64440.83,13981112
64036.51,13981113
64731.77,13981114
65426.03,13981115
65760.12,13981116
67524.87,13981119
67937.21,13981120
66910.87,13981121
67626.20,13981123
67391.43,13981126
68504.06,13981127
70227.67,13981128
70424.31,13981129
71486.77,13981130
72534.18,13981203
75205.88,13981204
76842.21,13981205
76937.52,13981206
77887.61,13981207
74799.55,13981210
77275.62,13981211
77856.51,13981212
79335.32,13981213
80366.68,13981214
80377.72,13981217
76222.19,13981219
72834.15,13981220
75904.15,13981221
71455.67,13981224
70016.98,13981225
74547.73,13981226
73290.64,13981227
74786.51,13981228
74724.31,13990105
76863.27,13990106
79568.08,13990109
81325.80,13990110
79968.38,13990111
83264.12,13990116
84149.00,13990117
82205.67,13990118
85410.10,13990119
87705.58,13990120
87567.13,13990123
90601.01,13990124
91451.78,13990125
90027.14,13990126
93808.45,13990127
96672.78,13990130
99354.51,13990131
100541.37,13990201
103402.69,13990202
104794.22,13990203
110319.21,13990206
115394.74,13990207
125711.33,13990208
135701.86,13990209
133332.14,13990210
136561.66,13990213
137725.45,13990214
129148.52,13990215
126866.09,13990216
126408.60,13990217
133412.40,13990220
137825.77,13990221
135059.77,13990222
128135.22,13990223
128616.79,13990224
122202.90,13990227
119127.89,13990228
126079.53,13990229
127307.52,13990230
125093.32,13990231
121081.25,13990303
115740.86,13990306
119175.04,13990307
126911.23,13990310
124707.06,13990311
126790.84,13990312
130557.11,13990313
135096.89,13990317
141688.35,13990318
140380.09,13990319
140813.50,13990320
145436.55,13990321
150119.80,13990324
149783.71,13990325
152125.33,13990326
155093.00,13990327
162405.81,13990331
165743.68,13990401
174236.33,13990402
181781.90,13990403
177813.98,13990404
184075.37,13990407
186933.67,13990408
180806.72,13990409
190356.82,13990410
198440.14,13990411
198102.04,13990414
200549.01,13990415
215615.06,13990416
219834.80,13990417
208176.84,13990418
200315.24,13990421
215823.74,13990422
213463.05,13990423
212064.50,13990424
203532.72,13990425
198188.32,13990428
209336.62,13990429
218053.00,13990430
217321.62,13990431
213746.98,13990501
220771.85,13990504
222985.06,13990505
218803.44,13990506
222106.20,13990507
215043.20,13990508
221977.78,13990511
228673.58,13990512
226538.63,13990513
226943.95,13990514
228469.92,13990515
234000.93,13990519
234438.35,13990520
222569.71,13990521
224989.59,13990522
214794.39,13990525
207639.09,13990526
209382.77,13990527
219990.31,13990528
208045.41,13990529
209360.70,13990601
193296.39,13990602
184625.16,13990603
201211.16,13990604
215912.03,13990605
211632.09,13990610
200324.27,13990611
191820.59,13990612
204086.52,13990615
205984.70,13990616
193375.65,13990617
182803.22,13990618
188708.45,13990619
201888.37,13990622
199409.29,13990623
204915.22,13990624
213925.56,13990625
215813.71,13990626
214493.41,13990629
206701.04,13990630
197446.90,13990631
206529.48,13990701
212946.37,13990702
211493.64,13990705
200832.93,13990706
191805.54,13990707
195979.13,13990708
203088.27,13990709
209906.47,13990712
202912.70,13990713
199714.29,13990714
202303.39,13990715
200664.22,13990716
198604.39,13990719
204432.34,13990720
203016.33,13990721
202652.95,13990722
200888.37,13990723
196990.89,13990727
188054.45,13990728
180437.24,13990729
188789.11,13990730
179531.74,13990803
173111.32,13990805
172206.82,13990806
172091.29,13990807
178833.61,13990810
173383.86,13990811
172375.67,13990812
179431.02,13990814
168257.01,13990817
162514.97,13990818
165990.80,13990819
168983.77,13990820
169246.43,13990821
176698.74,13990824
176962.39,13990825
175939.39,13990826
181978.65,13990827
190246.59,13990828
193882.39,13990901
189783.48,13990902
192479.22,13990903
191307.12,13990904
191894.65,13990905
195049.56,13990908
198815.71,13990909
205326.97,13990910
205310.18,13990911
205335.86,13990912
208058.26,13990915
214385.86,13990916
211354.38,13990917
210417.29,13990918
211170.71,13990919
213749.94,13990922
212250.00,13990923
199534.00,13990925
203329.00,13990926
210816.00,13990929
211721.00,13990930
214365.00,13991001
215985.00,13991002
215949.00,13991003
215241.00,13991006
215392.00,13991007
216874.00,13991008
213838.00,13991009
212943.00,13991010
205931.00,13991013
210450.00,13991014
213410.00,13991015
214140.00,13991016
207916.00,13991017
210262.00,13991020
212187.00,13991021
210557.00,13991022
205304.00,13991023
200311.00,13991024
191759.00,13991027
185631.00,13991029
194861.00,13991030
203913.00,13991101
209671.00,13991104
211000.00,13991105
204165.00,13991106
200792.00,13991107
199576.00,13991108
206563.00,13991111
203050.00,13991112
201481.00,13991113
199457.00,13991114
197417.00,13991115
189236.00,13991118
201431.00,13991119
200721.00,13991120
201733.00,13991121
210307.00,13991125
208081.00,13991126
205647.00,13991127
202581.00,13991128
200432.00,13991129
196179.00,13991202
193431.00,13991203
189005.00,13991204
193952.00,13991205
196499.00,13991206
193460.00,13991209
191452.00,13991210
194102.00,13991211
196743.00,13991212
196182.00,13991213
192857.00,13991216
197013.00,13991217
201547.00,13991218
207423.00,13991219
204809.00,13991220
210337.00,13991223
211053.00,13991224
209461.00,13991225
215671.00,13991226
218519.00,13991227
218257.00,14000107
216289.00,14000108
217891.00,14000110
215643.00,14000111
213043.00,14000114
209048.00,14000115
210668.00,14000116
212005.00,14000117
208693.00,14000118
205725.00,14000121
204639.00,14000122
205741.00,14000123
210985.00,14000124
208005.00,14000125
205303.00,14000128
203936.00,14000129
203327.00,14000130
204455.00,14000131
202571.00,14000201
200243.00,14000204
198032.00,14000205
200247.00,14000206
203421.00,14000207
204899.00,14000208
201257.00,14000211
198505.00,14000212
196382.00,14000213
197558.00,14000215
197494.00,14000218
192219.00,14000219
191183.00,14000220
195196.00,14000221
197528.00,14000222
199891.00,14000225
200042.00,14000226
198484.00,14000227
198231.00,14000228
195765.00,14000229
191964.00,14000301
188054.00,14000302
187049.00,14000303
189870.00,14000304
191873.00,14000305
198679.00,14000308
200844.00,14000309
196454.00,14000310
195329.00,14000311
198709.00,14000312
198302.00,14000317
200232.00,14000318
196582.00,14000319
195663.00,14000322
196493.00,14000323
197775.00,14000324
197742.00,14000325
197317.00,14000326
199140.00,14000329
203051.00,14000330
204087.00,14000331
205295.00,14000401
208409.00,14000402
215952.00,14000405
215401.00,14000406
215313.00,14000407
216404.00,14000408
218966.00,14000409
