<CLOSE>,<COL14>
9242.45,13980821
9242.45,13980822
9242.45,13980825
9242.45,13980826
9242.45,13980827
9242.45,13980828
9242.45,13980829
9242.45,13980902
9242.45,13980903
9242.45,13980904
9242.45,13980905
9242.45,13980906
9242.45,13980909
9242.45,13980910
9242.45,13980911
9242.45,13980912
9242.45,13980913
9242.45,13980916
9242.45,13980917
9242.45,13980918
9242.45,13980919
9242.45,13980920
9242.45,13980923
9242.45,13980924
27142.31,13980925
26909.40,13980926
27026.78,13980927
27252.29,13980930
28069.33,13981001
28012.95,13981002
27941.78,13981003
28268.04,13981004
28282.83,13981007
28449.19,13981008
29086.00,13981009
28728.31,13981010
28955.68,13981011
28708.90,13981014
28181.16,13981015
27685.76,13981017
27320.69,13981018
27864.14,13981021
28821.66,13981022
29355.88,13981023
30389.18,13981024
31132.27,13981025
31673.88,13981028
31473.32,13981029
31150.76,13981030
31089.76,13981101
31089.76,13981102
32142.47,13981105
31706.23,13981106
31891.08,13981107
32603.67,13981108
33194.27,13981112
32312.54,13981113
33625.89,13981114
33698.90,13981115
34304.28,13981116
34949.41,13981119
34687.85,13981120
34411.50,13981121
34161.95,13981123
34534.42,13981126
35034.44,13981127
35765.52,13981128
35527.06,13981129
35258.11,13981130
36126.90,13981203
37240.61,13981204
37400.51,13981205
38295.17,13981206
38757.30,13981207
37127.85,13981210
37685.17,13981211
38748.06,13981212
39744.39,13981213
40782.32,13981214
40782.32,13981217
38593.71,13981219
38155.61,13981220
38452.30,13981221
37086.26,13981224
36114.88,13981225
37406.05,13981226
37613.08,13981227
38319.21,13981228
37967.07,13990105
37749.87,13990106
40172.32,13990109
41186.21,13990110
41229.65,13990111
41405.26,13990116
43556.90,13990117
43344.33,13990118
44324.03,13990119
46214.11,13990120
47293.63,13990123
47779.78,13990124
49190.18,13990125
48868.54,13990126
50172.65,13990127
51872.34,13990130
54669.10,13990131
54694.06,13990201
56176.55,13990202
57862.37,13990203
60048.21,13990206
62299.67,13990207
63310.79,13990208
66340.47,13990209
67992.10,13990210
70694.59,13990213
74050.52,13990214
74751.10,13990215
72956.22,13990216
72925.72,13990217
77817.75,13990220
80060.89,13990221
79418.54,13990222
76582.96,13990223
76500.70,13990224
72656.76,13990227
70338.76,13990228
75189.19,13990229
75820.45,13990230
72620.72,13990231
69087.33,13990303
68728.76,13990306
73574.72,13990307
78010.89,13990310
75461.30,13990311
76071.16,13990312
79365.91,13990313
82564.01,13990317
87022.41,13990318
84376.17,13990319
84083.33,13990320
86041.43,13990321
90134.50,13990324
88394.82,13990325
88907.06,13990326
96793.58,13990327
99654.38,13990331
98504.27,13990401
101442.38,13990402
107772.87,13990403
105675.59,13990404
110469.36,13990407
108951.98,13990408
106255.48,13990409
115195.48,13990410
120395.18,13990411
116906.16,13990414
121168.36,13990415
128967.91,13990416
128813.27,13990417
124425.42,13990418
119902.27,13990421
130272.66,13990422
129025.90,13990423
129799.09,13990424
126889.96,13990425
124174.14,13990428
130205.01,13990429
134592.86,13990430
128117.40,13990431
126290.74,13990501
129625.12,13990504
127266.89,13990505
126522.70,13990506
127160.58,13990507
126261.75,13990508
127382.87,13990511
131113.51,13990512
133172.12,13990513
133491.06,13990514
135549.68,13990515
139850.54,13990519
139000.03,13990520
135337.05,13990521
135559.34,13990522
131538.76,13990525
127914.44,13990526
131683.73,13990527
129151.54,13990528
126184.43,13990529
124009.83,13990601
118897.12,13990602
116036.32,13990603
123024.02,13990604
131886.70,13990605
128677.96,13990610
119554.33,13990611
115978.33,13990612
119380.37,13990615
118955.11,13990616
112112.39,13990617
108178.79,13990618
114431.96,13990619
117891.98,13990622
112982.23,13990623
117109.12,13990624
120385.51,13990625
120056.91,13990626
118520.19,13990629
115475.76,13990630
110382.38,13990631
113842.40,13990701
118761.81,13990702
115475.76,13990705
109918.47,13990706
106845.04,13990707
107521.58,13990708
108652.37,13990709
113436.48,13990712
113813.41,13990713
109454.55,13990714
109454.55,13990715
113533.12,13990716
113262.51,13990719
117138.12,13990720
115166.49,13990721
114209.66,13990722
112817.92,13990723
109473.88,13990727
104438.49,13990728
101316.74,13990729
104477.15,13990730
100456.57,13990803
98533.26,13990805
97151.18,13990806
97363.81,13990807
100379.25,13990810
96329.67,13990811
94638.32,13990812
98156.33,13990814
93062.95,13990817
90163.49,13990818
91719.53,13990819
92405.74,13990820
93062.95,13990821
96948.22,13990824
96658.28,13990825
97267.16,13990826
99847.68,13990827
103752.29,13990828
104854.08,13990901
102776.13,13990902
104970.06,13990903
102389.54,13990904
102524.85,13990905
104535.14,13990908
106410.12,13990909
109096.95,13990910
108768.35,13990911
109444.89,13990912
110450.03,13990915
111841.77,13990916
111484.17,13990917
111532.50,13990918
111783.78,13990919
113600.78,13990922
114200.00,13990923
108170.00,13990925
110280.00,13990926
111950.00,13990929
112600.00,13990930
112700.00,13991001
112870.00,13991002
114310.00,13991003
113060.00,13991006
112250.00,13991007
112560.00,13991008
111700.00,13991009
109300.00,13991010
106790.00,13991013
106840.00,13991014
107920.00,13991015
107180.00,13991016
104340.00,13991017
102550.00,13991020
106120.00,13991021
104150.00,13991022
101690.00,13991023
99220.00,13991024
95190.00,13991027
92000.00,13991029
96250.00,13991030
98010.00,13991101
100600.00,13991104
99020.00,13991105
100070.00,13991106
98860.00,13991107
97720.00,13991108
102260.00,13991111
100110.00,13991112
99930.00,13991113
98360.00,13991114
96640.00,13991115
92770.00,13991118
99770.00,13991119
96080.00,13991120
98870.00,13991121
101850.00,13991125
99100.00,13991126
100850.00,13991127
100040.00,13991128
99040.00,13991129
97600.00,13991202
97580.00,13991203
97000.00,13991204
98480.00,13991205
96220.00,13991206
95020.00,13991209
93900.00,13991210
94650.00,13991211
95810.00,13991212
94170.00,13991213
94210.00,13991216
93550.00,13991217
95560.00,13991218
96600.00,13991219
95590.00,13991220
98030.00,13991223
98390.00,13991224
99710.00,13991225
100620.00,13991226
102920.00,13991227
103760.00,14000107
102310.00,14000108
101450.00,14000110
100930.00,14000111
99680.00,14000114
97660.00,14000115
97740.00,14000116
98010.00,14000117
97330.00,14000118
97140.00,14000121
96650.00,14000122
97410.00,14000123
98360.00,14000124
96600.00,14000125
95920.00,14000128
95420.00,14000129
94770.00,14000130
95230.00,14000131
94440.00,14000201
93750.00,14000204
92960.00,14000205
92700.00,14000206
94440.00,14000207
95000.00,14000208
94050.00,14000211
92710.00,14000212
90330.00,14000213
90580.00,14000215
90290.00,14000218
90210.00,14000219
90610.00,14000220
92590.00,14000221
91820.00,14000222
91560.00,14000225
91970.00,14000226
91330.00,14000227
90840.00,14000228
90240.00,14000229
86700.00,14000301
84230.00,14000302
83330.00,14000303
84140.00,14000304
83780.00,14000305
85980.00,14000308
87320.00,14000309
86340.00,14000310
86420.00,14000311
87720.00,14000312
87720.00,14000317
87780.00,14000318
86360.00,14000319
86630.00,14000322
87080.00,14000323
86380.00,14000324
87160.00,14000325
86160.00,14000326
87280.00,14000329
86880.00,14000330
86380.00,14000331
87400.00,14000401
90680.00,14000402
93340.00,14000405
92700.00,14000406
92280.00,14000407
92870.00,14000408
93260.00,14000409
