<CLOSE>,<COL14>
24914.10,13980105
24914.10,13980106
25033.11,13980107
24981.29,13980110
24981.29,13980111
24857.47,13980117
25253.86,13980118
25620.50,13980119
25752.95,13980120
25867.17,13980121
26221.33,13980124
25698.25,13980125
26746.33,13980126
26806.80,13980127
26417.12,13980128
26982.44,13980131
26873.98,13980202
26823.11,13980203
26823.11,13980204
27448.89,13980207
27580.38,13980208
28034.36,13980209
28899.13,13980210
28954.80,13980211
29611.29,13980214
29926.10,13980215
28226.32,13980216
27465.21,13980217
27819.37,13980218
27703.24,13980221
26536.14,13980222
26969.00,13980223
27703.24,13980224
26761.69,13980225
27554.47,13980228
27413.38,13980229
27018.91,13980230
27353.87,13980231
27113.93,13980301
27606.30,13980304
27803.05,13980305
28103.47,13980307
28272.39,13980308
28302.14,13980311
28187.93,13980312
28136.10,13980313
28474.90,13980318
29220.66,13980319
28873.21,13980320
28844.42,13980321
29213.94,13980322
29550.82,13980325
30006.72,13980326
29916.50,13980327
29293.60,13980328
29171.71,13980329
29158.27,13980401
29608.41,13980402
30527.88,13980403
30761.11,13980404
30980.90,13980405
31564.45,13980409
31028.89,13980410
31762.17,13980411
31931.09,13980412
31410.89,13980415
31410.89,13980416
32526.16,13980417
32526.16,13980418
32594.30,13980419
32954.22,13980422
33860.26,13980423
33492.66,13980424
32093.29,13980425
32376.43,13980426
31780.40,13980429
32324.60,13980430
33053.08,13980431
32901.43,13980501
32944.62,13980502
33049.24,13980505
32443.61,13980506
32724.83,13980507
32884.16,13980508
33115.46,13980509
33059.80,13980512
33059.80,13980513
33206.64,13980514
32976.30,13980515
32322.68,13980516
32353.39,13980519
32680.68,13980520
32125.93,13980522
32773.78,13980523
32798.74,13980526
32720.03,13980527
32987.81,13980528
32934.06,13980530
33072.27,13980602
32507.92,13980603
32495.44,13980604
33286.31,13980605
32381.23,13980606
32231.50,13980609
32598.14,13980610
33995.59,13980611
33818.03,13980612
33985.03,13980613
34423.65,13980616
35149.25,13980617
35501.49,13980620
34676.07,13980623
34340.15,13980624
35928.59,13980625
35191.48,13980626
35080.14,13980627
35080.14,13980630
34934.26,13980631
34739.42,13980701
34120.36,13980702
34575.30,13980703
34709.67,13980706
33885.21,13980707
33408.20,13980708
33491.70,13980709
33598.24,13980710
35052.31,13980713
32846.72,13980714
33627.99,13980715
34263.37,13980716
32403.30,13980717
33260.39,13980720
33934.16,13980721
33665.42,13980722
36545.74,13980723
35247.15,13980724
35588.83,13980728
34818.12,13980729
36298.11,13980730
36109.03,13980801
35753.91,13980804
36693.54,13980806
36342.26,13980808
35446.78,13980811
34970.73,13980812
35161.73,13980813
35806.70,13980814
35477.50,13980818
33958.16,13980819
34408.29,13980820
35456.38,13980821
35619.54,13980822
34507.15,13980825
35032.15,13980826
34020.54,13980827
35091.66,13980828
34322.87,13980829
34136.68,13980902
34448.61,13980903
34692.39,13980904
34767.25,13980905
34692.39,13980906
34749.98,13980909
34882.43,13980910
35217.39,13980911
35039.83,13980912
35230.83,13980913
35550.44,13980916
35200.12,13980917
35935.31,13980918
36267.40,13980919
37005.47,13980920
37882.72,13980923
37723.39,13980924
36996.83,13980925
37092.81,13980926
37471.93,13980927
38371.25,13980930
38377.97,13981001
38132.26,13981002
38565.12,13981003
38920.24,13981004
39414.53,13981007
39694.79,13981008
