<CLOSE>,<COL14>
19342.28,13980105
19250.11,13980106
19612.94,13980107
20130.98,13980110
20054.34,13980111
19973.82,13980117
20143.60,13980118
19891.36,13980119
20392.92,13980120
20701.42,13980121
20786.79,13980124
20909.02,13980125
21541.54,13980126
21446.47,13980127
20925.51,13980128
21405.72,13980131
21539.60,13980202
21166.10,13980203
21250.50,13980204
21378.56,13980207
21688.03,13980208
22375.84,13980209
22544.65,13980210
22732.85,13980211
23063.66,13980214
22734.79,13980215
22051.82,13980216
21162.22,13980217
21615.27,13980218
21207.82,13980221
21047.75,13980222
21003.12,13980223
21469.75,13980224
21263.12,13980225
21411.54,13980228
21673.48,13980229
21439.68,13980230
21597.81,13980231
21597.81,13980301
21716.16,13980304
21750.12,13980305
22190.55,13980307
22365.17,13980308
22243.91,13980311
22384.58,13980312
22503.90,13980313
22607.70,13980318
22961.80,13980319
23196.57,13980320
23175.22,13980321
23426.49,13980322
23475.96,13980325
23888.26,13980326
24106.54,13980327
24432.50,13980328
24070.65,13980329
24088.11,13980401
24132.73,13980402
24542.12,13980403
25138.75,13980404
25585.01,13980405
25882.83,13980409
25367.70,13980410
25681.05,13980411
25760.60,13980412
25298.82,13980415
25406.50,13980416
25514.19,13980417
25512.25,13980418
25862.46,13980419
25993.43,13980422
26134.09,13980423
26005.07,13980424
25715.00,13980425
25297.85,13980426
25258.07,13980429
25390.01,13980430
25775.15,13980431
25642.24,13980501
25736.34,13980502
25747.99,13980505
25468.59,13980506
25684.93,13980507
25542.32,13980508
25618.96,13980509
25557.84,13980512
25552.02,13980513
25460.83,13980514
25456.95,13980515
25314.34,13980516
25228.00,13980519
25130.99,13980520
25368.67,13980522
25422.02,13980523
25335.68,13980526
25673.29,13980527
25709.18,13980528
26022.53,13980530
26317.45,13980602
26370.80,13980603
26494.01,13980604
26612.36,13980605
26568.71,13980606
26668.63,13980609
26875.27,13980610
26869.45,13980611
26823.85,13980612
27210.93,13980613
27595.10,13980616
27947.25,13980617
27988.00,13980620
28028.74,13980623
27815.31,13980624
28253.81,13980625
28171.35,13980626
27727.03,13980627
27599.95,13980630
27755.17,13980631
28178.14,13980701
28536.11,13980702
28405.15,13980703
29189.01,13980706
29194.83,13980707
29026.02,13980708
29221.99,13980709
29723.54,13980710
30293.00,13980713
29866.15,13980714
29760.41,13980715
29271.47,13980716
29006.62,13980717
29419.89,13980720
30005.85,13980721
29551.83,13980722
29394.67,13980723
29248.18,13980724
28756.33,13980728
28232.47,13980729
28982.37,13980730
28791.26,13980801
28688.42,13980804
29074.53,13980806
29281.17,13980808
29134.68,13980811
28862.07,13980812
28862.07,13980813
28760.21,13980814
28663.20,13980818
28473.06,13980819
28473.06,13980820
28570.07,13980821
28521.56,13980822
28521.56,13980825
28464.32,13980826
28464.32,13980827
28279.03,13980828
28612.75,13980829
28377.01,13980902
28477.91,13980903
28426.49,13980904
28603.05,13980905
28804.84,13980906
28838.79,13980909
28890.21,13980910
29432.51,13980911
29407.28,13980912
29502.35,13980913
29861.30,13980916
30105.77,13980917
30738.29,13980918
30945.89,13980919
30759.63,13980920
31856.84,13980923
32056.68,13980924
31955.79,13980925
31958.70,13980926
31751.10,13980927
32162.43,13980930
32338.02,13981001
32983.15,13981002
33032.63,13981003
32805.62,13981004
33032.63,13981007
33189.78,13981008
33613.73,13981009
34570.27,13981010
34134.68,13981011
34144.38,13981014
33931.93,13981015
