,Date,Agas,Almas,Aminyekom,Asam,Asas,Atimes,Atlas,Bazr,Firouze,Ofogmellat
0,13980821,13720.59,35468.43,10130.9,41147.14,31107.28,44760.34,46094.09,9242.45,35456.38,28570.07
1,13980822,13835.06,35436.18,10136.9,40524.74,31107.28,44521.64,46312.8,9242.45,35619.54,28521.56
2,13980825,13770.04,35184.01,10154.92,40541.59,31705.73,44475.89,46241.57,9242.45,34507.15,28521.56
3,13980826,13493.89,34371.8,10158.92,41278.96,31033.96,43322.2,45003.54,9242.45,35032.15,28464.32
4,13980827,13579.0,34650.36,10166.93,40566.37,31520.45,43792.63,46560.61,9242.45,34020.54,28464.32
5,13980828,13643.52,34720.73,10169.93,41308.69,31520.45,44021.38,46084.05,9242.45,35091.66,28279.03
6,13980829,13672.64,34888.84,10175.94,41035.15,31520.45,44396.33,45985.73,9242.45,34322.87,28612.75
7,13980902,13728.12,35004.17,10023.8,40958.84,31377.77,43949.77,45677.73,9242.45,34136.68,28377.01
8,13980903,13751.21,34974.85,10031.81,41246.25,31010.18,44026.35,45676.73,9242.45,34448.61,28477.91
9,13980904,13858.91,34974.85,10038.82,41097.59,31704.73,44057.18,46394.06,9242.45,34692.39,28426.49
10,13980905,14039.92,35460.61,10043.82,41098.58,31705.73,44980.14,46424.16,9242.45,34767.25,28603.05
11,13980906,14176.23,35639.48,10047.82,41317.61,31840.47,44946.32,46936.83,9242.45,34692.39,28804.84
12,13980909,14462.67,36252.3,10065.84,41042.09,32704.46,44867.75,46590.7,9242.45,34749.98,28838.79
13,13980910,14787.78,36517.17,10067.84,40806.21,33227.6,46129.85,46653.91,9242.45,34882.43,28890.21
14,13980911,14695.39,36416.5,10074.85,41169.94,33236.52,46332.74,47490.63,9242.45,35217.39,29432.51
15,13980912,14422.51,36973.61,10081.85,41274.0,32950.18,46206.43,47675.23,9242.45,35039.83,29407.28
16,13980913,14878.91,36973.61,10085.86,41246.25,32950.18,46779.3,48066.51,9242.45,35230.83,29502.35
17,13980916,15056.14,37212.09,10094.87,41762.61,34253.08,47525.23,48234.05,9242.45,35550.44,29861.3
